Point,X,Y,Z,,Sony_L_X,Sony_L_Y
1,50,0,50,,1961.4,3130.4
2,190,0,50,,2188.4,3130.8
3,330,0,50,,2404.8,3129.4
4,500,0,50,,2681.3,3128.7
5,670,0,50,,nan,nan
6,830,0,50,,3195.2,3129.6
7,1000,0,50,,3450.8,3127.8
8,1170,0,50,,3707,3127.6
9,1310,0,50,,3918.7,3127.4
10,1450,0,50,,nan,nan
11,50,0,190,,1961.2,2901.6
12,190,0,190,,2189.1,2902.1
13,330,0,190,,2406.8,2903.7
14,500,0,190,,2681.1,2905.2
15,670,0,190,,nan,nan
16,830,0,190,,3191.4,2908.3
17,1000,0,190,,3447.4,2908.5
18,1170,0,190,,3705.5,2909.5
19,1310,0,190,,3915.4,2910.9
20,1450,0,190,,nan,nan
21,50,0,350,,1964,2650.9
22,190,0,350,,2191.5,2652.7
23,330,0,350,,2408.4,2654.7
24,500,0,350,,2679.9,2657
25,670,0,350,,2939.4,2659.5
26,830,0,350,,3184.7,2661.5
27,1000,0,350,,3440.9,2664
28,1170,0,350,,3697.3,2665.5
29,1310,0,350,,3904.9,2667.5
30,1450,0,350,,4113,2668.5
31,50,0,510,,nan , nan
32,190,0,510,,nan , nan
33,330,0,510,,nan , nan
34,500,0,510,,nan , nan
35,670,0,510,,nan , nan
36,830,0,510,,nan , nan
37,1000,0,510,,nan , nan
38,1170,0,510,,nan , nan
39,1310,0,510,,nan , nan
40,1450,0,510,,nan , nan
41,50,0,670,,1966.9,2149.4
42,190,0,670,,nan , nan
43,330,0,670,,nan , nan
44,500,0,670,,2673.6,2162
45,670,0,670,,nan , nan
46,830,0,670,,nan , nan
47,1000,0,670,,nan , nan
48,1170,0,670,,3680.7,2180.8
49,1310,0,670,,nan , nan
50,1450,0,670,,4090.1,2188.3
51,50,0,830,,nan , nan
52,190,0,830,,nan , nan
53,330,0,830,,nan , nan
54,500,0,830,,nan , nan
55,670,0,830,,nan , nan
56,830,0,830,,nan , nan
57,1000,0,830,,nan , nan
58,1170,0,830,,nan , nan
59,1310,0,830,,nan , nan
60,1450,0,830,,nan , nan
61,50,0,990,,1971.8,1662.9
62,190,0,990,,nan , nan
63,330,0,990,,nan , nan
64,500,0,990,,2667.7,1682.4
65,670,0,990,,nan , nan
66,830,0,990,,nan , nan
67,1000,0,990,,3412,1703.5
68,1170,0,990,,nan , nan
69,1310,0,990,,nan , nan
70,1450,0,990,,4066.8,1721
71,50,0,1150,,1974.8,1422.8
72,190,0,1150,,nan , nan
73,330,0,1150,,nan , nan
74,500,0,1150,,2665.8,1445.9
75,670,0,1150,,nan , nan
76,830,0,1150,,nan , nan
77,1000,0,1150,,3406.3,1470.3
78,1170,0,1150,,nan , nan
79,1310,0,1150,,nan , nan
80,1450,0,1150,,4058,1491.5
81,50,0,1310,,1977.6,1185.5
82,190,0,1310,,nan , nan
83,330,0,1310,,nan , nan
84,500,0,1310,,nan , nan
85,670,0,1310,,nan , nan
86,830,0,1310,,nan , nan
87,1000,0,1310,,nan , nan
88,1170,0,1310,,nan , nan
89,1310,0,1310,,nan , nan
90,1450,0,1310,,nan , nan
91,50,0,1450,,1979.9,993.7
92,190,0,1450,,nan , nan
93,330,0,1450,,nan , nan
94,500,0,1450,,2660.3,1017.6
95,670,0,1450,,nan , nan
96,830,0,1450,,nan , nan
97,1000,0,1450,,3395.4,1044.4
98,1170,0,1450,,nan , nan
99,1310,0,1450,,nan , nan
100,1450,0,1450,,4041.8,1066.3
